Sim_ID,Time (ms),I_ext (pA),v (mV),u (pA)
1,0.0,300.0,-60.0,-0.0
1,0.01,300.0,-59.97002096893302,-8.994905043233828e-06
1,0.02,300.0,-59.94008375172767,-3.595928062362832e-05
1,0.03,300.0,-59.91018816296798,-8.086270781298781e-05
1,0.04,300.0,-59.88033401802154,-0.00014367488780502833
1,0.05,300.0,-59.85052113303464,-0.00022436564141074401
1,0.06,300.0,-59.82074932492732,-0.0003229049085568691
1,0.07,300.0,-59.79101841138857,-0.0004392627477873949
1,0.08,300.0,-59.76132821087152,-0.0005734093357681533
1,0.09,300.0,-59.731678542588625,-0.0007253149667944001
1,0.1,300.0,-59.702069226506964,-0.0008949500523014234
1,0.11,300.0,-59.672500083343486,-0.0010822851203781284
1,0.12,300.0,-59.642970934560346,-0.0012872908152835886
1,0.13,300.0,-59.61348160236025,-0.0015099378969665456
1,0.14,300.0,-59.58403190968186,-0.0017501972405878274
1,0.15,300.0,-59.55462168019516,-0.0020080398360456607
1,0.16,300.0,-59.52525073829694,-0.0022834367875039026
1,0.17,300.0,-59.495918909106244,-0.0025763593129230927
1,0.18,300.0,-59.4666260184599,-0.0028867787435943922
1,0.19,300.0,-59.43737189290804,-0.003214666523676321
1,0.2,300.0,-59.408156359709665,-0.003559994209734317
1,0.21,300.0,-59.37897924682824,-0.003922733470283084
1,0.22,300.0,-59.349840382927326,-0.0043028560853317155
1,0.23,300.0,-59.32073959736624,-0.0047003339459315485
1,0.24,300.0,-59.291676720195724,-0.005115139053726778
1,0.25,300.0,-59.26265158215365,-0.005547243520507773
1,0.26,300.0,-59.233664014660796,-0.005996619567767089
1,0.27,300.0,-59.20471384981658,-0.006463239526258169
1,0.28,300.0,-59.175800920394856,-0.006947075835556694
1,0.29,300.0,-59.14692505983979,-0.007448101043624597
1,0.3,300.0,-59.118086102261636,-0.007966287806376694
1,0.31,300.0,-59.08928388243269,-0.008501608887249903
1,0.32,300.0,-59.06051823578314,-0.00905403715677509
1,0.33,300.0,-59.03178899839705,-0.00962354559215148
1,0.34,300.0,-59.00309600700826,-0.01021010727682361
1,0.35000000000000003,300.0,-58.97443909899645,-0.010813695400060852
1,0.36,300.0,-58.94581811238309,-0.011434283256539422
1,0.37,300.0,-58.91723288582751,-0.012071844245926949
1,0.38,300.0,-58.88868325862297,-0.01272635187246948
1,0.39,300.0,-58.860169070692734,-0.013397779744581008
1,0.4,300.0,-58.831690162586206,-0.01408610157443543
1,0.41000000000000003,300.0,-58.80324637547506,-0.014791291177560962
1,0.42,300.0,-58.77483755114941,-0.015513322472436983
1,0.43,300.0,-58.746463532014005,-0.016252169480093292
1,0.44,300.0,-58.718124161084454,-0.017007806323711742
1,0.45,300.0,-58.68981928198345,-0.017780207228230285
1,0.46,300.0,-58.66154873893706,-0.01856934651994936
1,0.47000000000000003,300.0,-58.63331237677098,-0.019375198626140646
1,0.48,300.0,-58.6051100409069,-0.020197738074658148
1,0.49,300.0,-58.57694157735879,-0.021036939493551596
1,0.5,300.0,-58.5488068327293,-0.021892777610682156
1,0.51,300.0,-58.52070565420612,-0.022765227253340424
1,0.52,300.0,-58.492637889558395,-0.023654263347866713
1,0.53,300.0,-58.464603387133174,-0.024559860919273598
1,0.54,300.0,-58.43660199585184,-0.02548199509087068
1,0.55,300.0,-58.40863356520658,-0.02642064108389162
1,0.56,300.0,-58.38069794525691,-0.027375774217123394
1,0.5700000000000001,300.0,-58.35279498662619,-0.028347369906537707
1,0.58,300.0,-58.32492454049815,-0.029335403664924632
1,0.59,300.0,-58.297086458613464,-0.030339851101528478
1,0.6,300.0,-58.26928059326634,-0.03136068792168568
1,0.61,300.0,-58.24150679730112,-0.03239788992646498
1,0.62,300.0,-58.21376492410892,-0.03345143301230969
1,0.63,300.0,-58.18605482762427,-0.034521293170682046
1,0.64,300.0,-58.15837636232178,-0.03560744648770975
1,0.65,300.0,-58.130729383212866,-0.03670986914383453
1,0.66,300.0,-58.103113745842414,-0.037828537413462815
1,0.67,300.0,-58.075529306285546,-0.038963427664618515
1,0.68,300.0,-58.04797592114436,-0.04011451635859778
1,0.6900000000000001,300.0,-58.0204534475447,-0.04128178004962589
1,0.7000000000000001,300.0,-57.992961743132994,-0.04246519538451614
1,0.71,300.0,-57.965500666072984,-0.04366473910233068
1,0.72,300.0,-57.93807007504264,-0.04488038803404354
1,0.73,300.0,-57.91066982923096,-0.046112119102205404
1,0.74,300.0,-57.883299788334874,-0.04735990932061059
1,0.75,300.0,-57.855959812556115,-0.04862373579396588
1,0.76,300.0,-57.82864976259814,-0.04990357571756132
1,0.77,300.0,-57.80136949966305,-0.05119940637694303
1,0.78,300.0,-57.77411888544856,-0.052511205147587836
1,0.79,300.0,-57.74689778214493,-0.053838949494579964
1,0.8,300.0,-57.71970605243198,-0.05518261697228951
1,0.81,300.0,-57.692543559476086,-0.05654218522405292
1,0.8200000000000001,300.0,-57.665410166927195,-0.05791763198185527
1,0.8300000000000001,300.0,-57.638305738915875,-0.0593089350660145
1,0.84,300.0,-57.61123014005035,-0.060716072384867426
1,0.85,300.0,-57.58418323541362,-0.06213902193445775
1,0.86,300.0,-57.55716489056049,-0.06357776179822569
1,0.87,300.0,-57.530174971514754,-0.06503227014669967
1,0.88,300.0,-57.50321334476625,-0.06650252523718969
1,0.89,300.0,-57.47627987726806,-0.06798850541348257
1,0.9,300.0,-57.44937443643365,-0.06949018910553895
1,0.91,300.0,-57.42249689013404,-0.07100755482919208
1,0.92,300.0,-57.39564710669502,-0.07254058118584847
1,0.93,300.0,-57.36882495489436,-0.07408924686219019
1,0.9400000000000001,300.0,-57.34203030395901,-0.07565353062987899
1,0.9500000000000001,300.0,-57.31526302356237,-0.07723341134526218
1,0.96,300.0,-57.28852298382157,-0.07882886794908017
1,0.97,300.0,-57.26181005529471,-0.08043987946617591
1,0.98,300.0,-57.23512410897816,-0.08206642500520575
1,0.99,300.0,-57.208465016303904,-0.0837084837583523
1,1.0,300.0,-57.181832649136815,-0.08536603500103881
1,1.01,300.0,-57.15522687977203,-0.08703905809164537
1,1.02,300.0,-57.12864758093231,-0.0887275324712266
1,1.03,300.0,-57.10209462576538,-0.09043143766323117
1,1.04,300.0,-57.07556788784135,-0.0921507532732229
1,1.05,300.0,-57.0490672411501,-0.09388545898860358
1,1.06,300.0,-57.02259256009869,-0.09563553457833726
1,1.07,300.0,-56.99614371950881,-0.0974009598926764
1,1.08,300.0,-56.96972059461422,-0.09918171486288944
1,1.09,300.0,-56.94332306105822,-0.10097777950099009
1,1.1,300.0,-56.91695099489111,-0.10278913389946814
1,1.11,300.0,-56.89060427256768,-0.10461575823102198
1,1.12,300.0,-56.864282770944726,-0.10645763274829258
1,1.1300000000000001,300.0,-56.83798636727858,-0.10831473778359908
1,1.1400000000000001,300.0,-56.81171493922262,-0.110187053748676
1,1.1500000000000001,300.0,-56.78546836482483,-0.11207456113441192
1,1.16,300.0,-56.75924652252536,-0.11397724051058968
1,1.17,300.0,-56.73304929115409,-0.1158950725256284
1,1.18,300.0,-56.706876549928246,-0.11782803790632657
1,1.19,300.0,-56.680728178449975,-0.11977611745760695
1,1.2,300.0,-56.65460405670397,-0.12173929206226304
1,1.21,300.0,-56.628504065055104,-0.12371754268070681
1,1.22,300.0,-56.60242808424607,-0.12571085035071813
1,1.23,300.0,-56.57637599539503,-0.1277191961871956
1,1.24,300.0,-56.5503476799933,-0.12974256138190882
1,1.25,300.0,-56.52434301990301,-0.13178092720325224
1,1.26,300.0,-56.49836189735481,-0.1338342749960004
1,1.27,300.0,-56.47240419494559,-0.13590258618106454
1,1.28,300.0,-56.44646979563617,-0.13798584225525085
1,1.29,300.0,-56.42055858274905,-0.14008402479102
1,1.3,300.0,-56.39467043996617,-0.14219711543624822
1,1.31,300.0,-56.368805251326634,-0.14432509591398957
1,1.32,300.0,-56.3429629012245,-0.14646794802223995
1,1.33,300.0,-56.317143274406575,-0.14862565363370225
1,1.34,300.0,-56.29134625597017,-0.15079819469555306
1,1.35,300.0,-56.265571731360936,-0.15298555322921065
1,1.36,300.0,-56.23981958637068,-0.15518771133010442
1,1.37,300.0,-56.21408970713518,-0.1574046511674457
1,1.3800000000000001,300.0,-56.188381980132036,-0.15963635498399986
1,1.3900000000000001,300.0,-56.16269629217852,-0.1618828050958599
1,1.4000000000000001,300.0,-56.13703253042945,-0.16414398389222126
1,1.41,300.0,-56.111390582375044,-0.16641987383515805
1,1.42,300.0,-56.085770335838816,-0.16871045745940075
1,1.43,300.0,-56.0601716789755,-0.17101571737211485
1,1.44,300.0,-56.034594500268916,-0.1733356362526812
1,1.45,300.0,-56.00903868852993,-0.17567019685247753
1,1.46,300.0,-55.98350413289434,-0.1780193819946613
1,1.47,300.0,-55.957990722820874,-0.18038317457395378
1,1.48,300.0,-55.932498348089105,-0.1827615575564256
1,1.49,300.0,-55.90702689879742,-0.18515451397928331
1,1.5,300.0,-55.881576265361,-0.18756202695065757
1,1.51,300.0,-55.85614633850981,-0.1899840796493923
1,1.52,300.0,-55.83073700928659,-0.19242065532483524
1,1.53,300.0,-55.80534816904485,-0.19487173729662985
1,1.54,300.0,-55.7799797094469,-0.19733730895450835
1,1.55,300.0,-55.75463152246188,-0.19981735375808599
1,1.56,300.0,-55.729303500363784,-0.20231185523665662
1,1.57,300.0,-55.70399553572952,-0.20482079698898956
1,1.58,300.0,-55.67870752143695,-0.20734416268312753
1,1.59,300.0,-55.653439350662964,-0.20988193605618596
1,1.6,300.0,-55.62819091688157,-0.21243410091415346
1,1.61,300.0,-55.60296211386196,-0.21500064113169345
1,1.62,300.0,-55.57775283566662,-0.21758154065194713
1,1.6300000000000001,300.0,-55.552562976649426,-0.22017678348633746
1,1.6400000000000001,300.0,-55.52739243145376,-0.2227863537143745
1,1.6500000000000001,300.0,-55.50224109501066,-0.22541023548346184
1,1.6600000000000001,300.0,-55.47710886253691,-0.22804841300870426
1,1.67,300.0,-55.45199562953321,-0.2307008705727165
1,1.68,300.0,-55.42690129178232,-0.2333675925254334
1,1.69,300.0,-55.401825745347246,-0.2360485632839208
1,1.7,300.0,-55.37676888656937,-0.238743767332188
1,1.71,300.0,-55.351730612066675,-0.2414531892210012
1,1.72,300.0,-55.326710818731875,-0.24417681356769808
1,1.73,300.0,-55.301709403730676,-0.2469146250560035
1,1.74,300.0,-55.27672626449994,-0.24966660843584645
1,1.75,300.0,-55.251761298745926,-0.252432748523178
1,1.76,300.0,-55.226814404442486,-0.2552130301997904
1,1.77,300.0,-55.20188547982933,-0.2580074384131374
1,1.78,300.0,-55.176974423410236,-0.2608159581761555
1,1.79,300.0,-55.15208113395133,-0.2636385745670865
1,1.8,300.0,-55.12720551047931,-0.26647527272930105
1,1.81,300.0,-55.10234745227974,-0.26932603787112325
1,1.82,300.0,-55.07750685889532,-0.27219085526565634
1,1.83,300.0,-55.05268363012416,-0.27506971025060967
1,1.84,300.0,-55.027877666018064,-0.2779625882281266
1,1.85,300.0,-55.00308886688086,-0.2808694746646133
1,1.86,300.0,-54.97831713326667,-0.2837903550905691
1,1.87,300.0,-54.95356236597825,-0.28672521510041726
1,1.8800000000000001,300.0,-54.9288244660653,-0.28967404035233746
1,1.8900000000000001,300.0,-54.9041033348228,-0.29263681656809887
1,1.9000000000000001,300.0,-54.87939887378935,-0.2956135295328944
1,1.9100000000000001,300.0,-54.85471098474551,-0.29860416509517607
1,1.92,300.0,-54.830039569712156,-0.3016087091664914
1,1.93,300.0,-54.80538453094885,-0.30462714772132093
1,1.94,300.0,-54.78074577095219,-0.30765946679691636
1,1.95,300.0,-54.7561231924542,-0.31070565249314014
1,1.96,300.0,-54.73151669842072,-0.313765690972306
1,1.97,300.0,-54.70692619204978,-0.3168395684590204
1,1.98,300.0,-54.68235157677,-0.31992727124002496
1,1.99,300.0,-54.657792756239026,-0.32302878566404003
1,2.0,300.0,-54.63324963434189,-0.3261440981416093
1,2.0100000000000002,300.0,-54.60872211518946,-0.3292731951449451
1,2.02,300.0,-54.58421010311688,-0.3324160632077747
1,2.0300000000000002,300.0,-54.55971350268199,-0.3355726889251888
1,2.04,300.0,-54.53523221866374,-0.3387430589534885
1,2.05,300.0,-54.510766156060676,-0.3419271600100359
1,2.06,300.0,-54.486315220089395,-0.34512497887310434
1,2.07,300.0,-54.461879316182966,-0.3483365023817289
1,2.08,300.0,-54.437458349989434,-0.35156171743556025
1,2.09,300.0,-54.41305222737029,-0.35480061099471644
1,2.1,300.0,-54.38866085439893,-0.35805317007963855
1,2.11,300.0,-54.36428413735917,-0.3613193817709446
1,2.12,300.0,-54.339921982743725,-0.364599233209287
1,2.13,300.0,-54.3155742972527,-0.3678927115952085
1,2.14,300.0,-54.29124098779213,-0.37119980418900134
1,2.15,300.0,-54.266921961472455,-0.37452049831056516
1,2.16,300.0,-54.24261712560706,-0.37785478133926803
1,2.17,300.0,-54.2183263877108,-0.3812026407138062
1,2.18,300.0,-54.19404965549853,-0.3845640639320671
1,2.19,300.0,-54.16978683688363,-0.3879390385509907
1,2.2,300.0,-54.14553783997657,-0.39132755218643445
1,2.21,300.0,-54.12130257308345,-0.3947295925130366
1,2.22,300.0,-54.09708094470454,-0.39814514726408273
1,2.23,300.0,-54.07287286353287,-0.4015742042313711
1,2.24,300.0,-54.048678238452794,-0.40501675126508097
1,2.25,300.0,-54.024496978538544,-0.4084727762736395
1,2.2600000000000002,300.0,-54.00032899305281,-0.4119422672235921
1,2.27,300.0,-53.976174191445345,-0.41542521213947115
1,2.2800000000000002,300.0,-53.952032483351545,-0.4189215991036679
1,2.29,300.0,-53.927903778591045,-0.42243141625630304
1,2.3000000000000003,300.0,-53.90378798716631,-0.4259546517951005
1,2.31,300.0,-53.87968501926127,-0.4294912939752597
1,2.32,300.0,-53.855594785239894,-0.4330413311093309
1,2.33,300.0,-53.83151719564486,-0.43660475156708994
1,2.34,300.0,-53.80745216119611,-0.44018154377541385
1,2.35,300.0,-53.78339959278954,-0.4437716962181588
1,2.36,300.0,-53.75935940149562,-0.4473751974360368
1,2.37,300.0,-53.735331498558,-0.4509920360264953
1,2.38,300.0,-53.71131579539218,-0.4546222006435956
1,2.39,300.0,-53.68731220358418,-0.4582656799978945
1,2.4,300.0,-53.66332063488915,-0.46192246285632416
1,2.41,300.0,-53.63934100123007,-0.4655925380420751
1,2.42,300.0,-53.61537321469639,-0.46927589443447837
1,2.43,300.0,-53.591417187542696,-0.47297252096888986
1,2.44,300.0,-53.56747283218741,-0.4766824066365741
1,2.45,300.0,-53.54354006121145,-0.4804055404845904
1,2.46,300.0,-53.519618787356926,-0.4841419116156782
1,2.47,300.0,-53.495708923525804,-0.4878915091881451
1,2.48,300.0,-53.47181038277864,-0.4916543224157533
1,2.49,300.0,-53.447923078333254,-0.4954303405676097
1,2.5,300.0,-53.42404692356342,-0.49921955296805404
1,2.5100000000000002,300.0,-53.4001818319976,-0.5030219489965504
1,2.52,300.0,-53.37632771731765,-0.5068375180875768
1,2.5300000000000002,300.0,-53.35248449335753,-0.5106662497305188
1,2.54,300.0,-53.32865207410203,-0.5145081334695601
1,2.5500000000000003,300.0,-53.30483037368549,-0.5183631589035784
1,2.56,300.0,-53.28101930639054,-0.5222313156860374
1,2.57,300.0,-53.25721878664683,-0.5261125935248833
1,2.58,300.0,-53.23342872902977,-0.5300069821824402
1,2.59,300.0,-53.20964904825926,-0.5339144714753065
1,2.6,300.0,-53.185879659198456,-0.5378350512742526
1,2.61,300.0,-53.16212047685252,-0.5417687115041188
1,2.62,300.0,-53.13837141636738,-0.545715442143715
1,2.63,300.0,-53.114632393028444,-0.5496752332257193
1,2.64,300.0,-53.090903322259436,-0.5536480748365797
1,2.65,300.0,-53.06718411962112,-0.5576339571164142
1,2.66,300.0,-53.04347470081007,-0.561632870258914
1,2.67,300.0,-53.01977498165748,-0.5656448045112451
1,2.68,300.0,-52.99608487812788,-0.5696697501739536
1,2.69,300.0,-52.97240430631801,-0.5737076976008679
1,2.7,300.0,-52.94873318245553,-0.5777586371990059
1,2.71,300.0,-52.92507142289783,-0.5818225594284788
1,2.72,300.0,-52.90141894413086,-0.5858994548023998
1,2.73,300.0,-52.87777566276789,-0.5899893138867895
1,2.74,300.0,-52.854141495548326,-0.5940921273004857
1,2.75,300.0,-52.83051635933653,-0.5982078857150506
1,2.7600000000000002,300.0,-52.806900171120596,-0.6023365798546821
1,2.77,300.0,-52.7832928480112,-0.6064782004961226
1,2.7800000000000002,300.0,-52.7596943072404,-0.6106327384685711
1,2.79,300.0,-52.736104466160455,-0.6148001846535944
1,2.8000000000000003,300.0,-52.71252324224265,-0.6189805299850403
